name,c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,unit_props_at_depth_1,unit_props_at_depth_4,unit_props_at_depth_16,unit_props_at_depth_64,unit_props_at_depth_256,mean_depth_to_contradiction_over_vars,estimate_log_number_nodes_over_vars,knuths_estimate,weighted_backtrack_estimate,recursive_estimate,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,saps_EstACL_Mean,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,gsat_EstACL_Mean
linear.em_7_3_6_exp.cnf,22887,1473,15.537678207739308,0.06435968016778083,0.0017863970009270435,0.5505224052105898,0.00026215755669157164,0.0049809935771398615,2.861837682158976,0.0017863970009270433,0.5772359165925263,0.0013577732518669382,0.01697216564833673,0.9801006004950362,0.002144720522632654,0.3029479113031527,0.0002184646305763097,0.0031021977541835976,0.7042571474344971,0.48989596816417036,0.0,1.0,1.1168115484055499,0.7175839534112389,0.35648780623513016,0.13043478260869557,0.9130434782608696,2.6376237047901347,0.2558099293411044,0.5988115524096649,0.30689911303359985,0.9057106654432647,0.8478612312666579,0.0013410435775091597,0.38124710837765974,0.0002184646305763097,0.0027526543452615023,2.645690401605991,0.0027155465037338763,0.042090970807875085,0.05363204344874406,0.05363204344874406,0.05363204344874406,0.18290772364092117,0.47216035667445155,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397375,3.5824602078515005e+224,17335,22.269256987,0.218887270257,590.8200409,0.0400125005758,591.0,568.0,614.0,4.80134921157,0.148664330987,0.990133152294,0.00197059181744,2582308.78289,28.8090277778,1.93414536171,590.08203125,0.0378430058541,590.0,566.0,615.0,4.70250019457,0.153706403194,0.992083583581,0.0364496202062,3079257.38641
linear.normalized-subsetCardinalitySigma-29-1.cnf.gz-extracted.pb.metafix.cnf,416,295,1.4101694915254237,0.7091346153846154,0.005529428198919725,0.6568319837276847,0.0,0.01201923076923077,1.0914530037654684,0.005529428198919725,0.19739017423982022,0.004842615012106538,0.007263922518159807,0.5963712105844388,0.010625814863103,0.21151468979576288,0.004807692307692308,0.016826923076923076,0.4703525641025641,0.9917674645134716,0.0,1.0,1.0030221473375454,0.1752219531880549,0.9522699445452617,0.0,0.5,0.722726892581786,0.16685859964550148,0.7163461538461539,0.28365384615384615,1.0,0.8581730769230769,0.004499208418699945,0.6724350144873467,0.0,0.009615384615384616,1.1128366486988188,0.0,0.03389830508474576,0.1234866828087167,0.5060532687651331,0.5060532687651331,0.46413552665518415,0.6896979569616439,2.3878324018990217e+66,4.182801981087419e+65,39320,3.2846,0.563320484516,55.6939,0.0959720791353,56.0,49.0,63.0,0.443794680018,0.212590564191,0.787486379589,0.0485562597335,8724.33382616,12.315,0.244802631895,55.718,0.0962542027952,56.0,49.0,63.0,0.522839893799,0.355706081428,0.881206491507,0.0529566994654,8411.900369
linear.normalized-par16-1-c.cnf,1581,634,2.493690851735016,0.4010120177103099,0.004293892177813427,0.8504315446097199,0.0018975332068311196,0.025932953826691967,1.1857225137559149,0.004293892177813427,0.16451028298290152,0.0031545741324921135,0.00473186119873817,0.5907414899820075,0.007286846762720556,0.9612958272259625,0.0031625553447185324,0.051233396584440226,1.0,0,1.0,1.0,0.0,0.644937844916737,0.1260154711458434,0.33333333333333326,0.9512195121951219,1.159483503766264,0.0812721463869675,0.27767235926628714,0.7223276407337128,1.0,0.20050600885515496,0.0006325110689437065,0,0.0006325110689437065,0.0006325110689437065,0.0,0.0,0.0031545741324921135,0.0031545741324921135,0.0031545741324921135,0.0031545741324921135,0.52302984936787,0.8370121626566981,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397375,1.8788340662190666e+109,12772,20.2081,0.0923125067626,107.6845,0.0755270379948,108.0,97.0,118.0,1.21878344234,0.152229567429,0.912061411047,0.0223420927659,2100.73121331,27.8057,0.130719902905,107.889,0.0753364043367,108.0,97.0,118.0,0.895465935596,0.320579580191,0.943779092875,0.024422263096,7606.82205571
linear.satsgi-n23himBHm26-p0-q248.cnf,14076,598,23.53846153846154,0.042483660130718956,0.0034100596760443308,0,0.0034100596760443308,0.0034100596760443308,0.0,0.0034100596760443308,0.47535411901185676,0.0033444816053511705,0.043478260869565216,0.01211750791454055,0.0033390167661267404,0,0.0033390167661267404,0.0033390167661267404,1.0,0,1.0,1.0,0.0,0.9583333333333334,0,0.9583333333333334,0.9583333333333334,0.0,0.0,0.9983660130718954,0.0,0.9983660130718954,0.9983660130718954,0.0033390167661267404,0,0.0033390167661267404,0.0033390167661267404,0.0,0.0,0.0,0.0,0.07525083612040134,0.11036789297658862,1.0,1.0,0,0,599,0.0565664556962,71.1055553385,276.759295886,0.0464837696771,277.0,261.0,292.0,12.4830164374,0.0401897256104,0.999467853296,0.00140614202395,1068824.90431,0.0969476744186,82.9457654133,277.117296512,0.0461838223179,277.0,261.0,293.0,12.5415624081,0.0402451909855,0.999490724985,0.00348325834864,1102726.65182
linear.q_query_3_l41_lambda.cnf,129791,24462,5.305821273812444,0.18847223613347613,9.754100464810771e-05,6.233609461961226,7.430855885980947e-06,0.054148646841143164,2.4775743123289127,9.754100464810771e-05,0.29281855849997296,3.419387929560609e-05,0.0003077449136604548,1.1733150230294214,8.654325560021371e-05,3.768436202225712,7.430855885980947e-06,0.020806396480746652,0.41467965580275534,0.8200797676339864,0.0,1.0,1.3195894370476362,0.37880588718903296,0.9441943638036827,0.0,1.0,2.675384904095106,0.35766638365953857,0.2691530310461159,0.5512134587661807,0.8203664898122965,0.6618960571878669,5.664144172497818e-05,3.1096041197710296,0.0,0.018235320344197243,2.3103019631842896,0.00013677551718242436,0.00013677551718242436,0.0002393571550692426,0.0002393571550692426,0.0002393571550692426,0.03732048213369807,0.10928363822875706,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397375,0,29967,501.523809524,1.00543976771,7233.9047619,0.22934787795,7591.0,7503.0,7648.0,2.03172648986,0.104902903946,0.957314206516,0.0443110139662,1412470.8122,474.724137931,0.177343770172,7613.86206897,0.00927519719234,7595.0,7529.0,7709.0,0.316920274637,0.603926747268,0.951595663795,0.00527816523834,3487671.08418
linear.normalized-mps-v2-20-10-misc03.cnf,85014,40355,2.106653450625697,0.4746865222198697,5.740716967466241e-05,0.5984900133619183,0.0,0.0007410544145670124,1.3872812687094833,5.74071696746624e-05,0.32429586109984426,4.860267314702309e-05,0.0008748481166464155,0.6884449110997335,6.405673467581397e-05,0.9259165389397382,1.1762768485190675e-05,0.0014821088291340249,0.49277202148964444,0.8827892103910643,0.0,1.0,1.1254096931625759,0.1575159309079853,0.8695667079017901,0.0,1.0,1.251624859416486,0.1369706094817426,0.6592090714470558,0.33239231185451806,0.9916013833015739,0.7360787634977768,3.772489934543266e-05,0.6063509770330232,0.0,0.00038817136001129224,1.7938003961162743,0.01511543134872418,0.030036452004860267,0.20690157958687727,0.20690157958687727,0.20690157958687727,0.10571587687322802,0.23286549301334822,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397375,0,50001,831.0,2.58235230007,6938.875,0.40415563986,7946.5,0.0,7985.0,0.402335523561,1.29929153408,0.829066504538,0.347310908058,104551301.893,1183.0,0.122222795353,7907.26666667,0.00831541506728,7892.0,7803.0,7979.0,0.174197284235,0.215514485202,0.776642823305,0.0104725607781,163247216.87
linear.normalized-simp-nonunif-100_100.10.cnf,141447,13108,10.790891058895332,0.09267075300289154,8.456977806771198e-05,2.812231401467448,6.436414659578029e-06,0.001802196104681848,2.0727385873136166,8.456977806771198e-05,1.2446011521936462,3.7000037000037e-05,0.005846005846005846,0.8908713649545944,0.0007721183520463955,0.36591031754129444,6.436414659578029e-06,0.001789323275362692,0.24008065444115823,1.417815535482673,0.0,1.0,0.9699400357153061,0.9073126490203911,0.14767078811692239,0.0,1.0,2.0145287532847265,0.13398357394929375,0.6100240721908268,0.29931902732901666,0.9093430995198435,0.6540491484623405,4.789505066270897e-05,2.477684925064953,6.436414659578029e-06,0.001100626906787843,2.003408142412982,3.7000037000037e-05,0.00555000555000555,0.00555000555000555,0.00555000555000555,0.00555000555000555,0.4568487068487069,0.4832204832204832,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397375,0,29313,430.775,0.649470150534,9110.3,0.164266542501,9261.5,9171.0,9830.0,3.77198766386,0.0522446919308,0.999053240893,0.0100324216239,357708.567548,451.429184549,0.0226817037118,9411.70815451,0.0279049593622,9304.0,9195.0,9909.0,2.35284109794,0.217001428879,0.9993023018,0.000285236940749,1200713.93756
linear.normalized-j3024_4-sat.cnf,3060,1413,2.1656050955414012,0.46176470588235297,0.00041024362658302686,1.0112051237515922,0.0,0.0019639350116050706,1.5012127541661058,0.00041024362658302686,0.44227536009499924,0.00024189646831156264,0.001451378809869376,1.0474875317025094,0.0010282765955376737,0.4447312756276589,0.00017853954650955185,0.003035172290662382,0.6899125156222103,0.625722610220503,0.0,1.0,0.9241768298251181,0.7246280100053685,0.5245152753993944,0.0,1.0,1.4532054694257541,0.38007846023008096,0.41813961792537047,0.11087305838243171,0.5290126763078021,0.9291198000357079,0.00036273673225295744,0.9179514529336668,0.0,0.0017853954650955187,1.4108740697087485,0.0,0.002902757619738752,0.0043541364296081275,0.01983551040154814,0.07934204160619256,0.3308813827681752,0.3417834750372863,0,0,4135,1.1427238806,32.7146693673,1611.42817164,0.0353888919158,1613.0,1575.0,1649.0,0.954158453408,0.0469357029053,0.959779845831,0.0549811540731,2058191.71247,27.9912922327,1.09776594374,1613.51445489,0.0257667191704,1614.0,1577.0,1650.0,0.56698169843,0.170968155514,0.97415239394,0.122683909126,3950667.73591
linear.normalized-reduced-mps-v2-20-10-nug08.cnf,448013,169499,2.6431601366379742,0.3783350036717685,1.3944948760031268e-05,1.0536607948398402,0.0,0.0002802613224512674,1.4485213001680497,1.3944948760031268e-05,0.21201145889753073,5.137478936336361e-06,0.00016439932596276356,0.6696404883158267,1.8317754616292594e-05,1.084127852499636,6.369575510256078e-06,0.0004310079428606613,0.42902063530146134,0.6887515162303309,0.0,1.0,0.7884344862434325,0.2689940745920629,1.0168930176347193,0.0,1.0,1.4017720523645736,0.27353819623778164,0.18906386348725768,0.7621197098021397,0.9511835732893974,0.48987980611012144,6.097239135938398e-06,1.2152825483881307,0.0,0.00013376108571537765,1.6396677473948942,0.23603119477210144,0.23603119477210144,0.23603119477210144,0.23603119477210144,0.23603119477210144,0.08047038757141095,0.23181167066656277,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397375,0,50001,41391.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98928032752,0.0,2.12082645076,0.0,669810867.057,14915.5,0.310187366786,41106.0,0.00244268872983,41106.0,41035.0,41035.0,1.02421847179,0.488526979111,0.943389257249,0.071350134204,2614883294.57
linear.normalized-factor-size=9-P=127-Q=499.cnf,2004,722,2.775623268698061,0.3602794411177645,0.0038501811768920243,0.5886891088811991,0.0,0.015461346633416459,1.4972221777301773,0.003850181176892024,0.14718122939109154,0.0013812154696132596,0.004143646408839779,0.5200718663583505,0.004318842782241073,0.5060903897365492,0.00199501246882793,0.015461346633416459,0.2990856192851205,0.6211728986650282,0.0,1.0,0.613780231447621,0.14090637761228603,0.47566169047676604,0.0,1.0,1.2997212454695457,0.06702376577401752,0.2114713216957606,0.7880299251870324,0.9995012468827931,0.5002493765586035,0.001780769071795649,1.0727530808305041,0.0,0.008977556109725686,1.5672038018026795,0.0,0.0,0.0027624309392265192,0.1850828729281768,0.7527624309392266,0.320636690408041,0.952883970959236,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397375,1.88255514232693e+168,3277,36.5398105479,0.346098694985,131.409242192,0.0625358385469,131.0,121.0,142.0,0.567408997161,0.30902729042,0.790805422367,0.0573617493832,19618.4695059,43.758,0.186832617727,131.3054,0.0615750662143,131.0,121.0,142.0,0.438491911608,0.274128440612,0.811637575377,0.0431500313617,47986.826604
